scrape_session_id,scrape_datetime,store_name,basket_item_id,canonical_name,product_url,product_title_raw,price_raw,old_price_raw,unit_price_raw,price_block_raw,price_context_raw,availability_raw,status
20260530_163344,2026-05-30 17:35:25,Walmart,18,"bacon, oscar mayer",https://www.walmart.com/ip/Oscar-Mayer-Original-Bacon-12-Hour-Natural-Wood-Smoked-16-Oz-Pack/10292659,"Oscar Mayer Naturally Hardwood Smoked Bacon, 16 oz Pack, 17-19 slices",$7.28,,$7.28/lb,$7.28 $7.28/lb,standard_price,in_stock,success
20260530_163344,2026-05-30 17:40:56,Walmart,19,vegan bacon,https://www.walmart.com/ip/MorningStar-Farms-Veggie-Breakfast-Vegetarian-Original-Plant-Based-Bacon-Strips-5-25-oz-Box/10891734,"MorningStar Farms Veggie Breakfast Original Meatless Bacon Strips, Vegetarian Meat, 5.25 oz Box",$4.58,,$13.88/lb,$4.58 $13.88/lb,standard_price,in_stock,success
20260530_163344,2026-05-30 17:50:33,Walmart,20,"brisket, beef, angus",https://www.walmart.com/ip/Whole-Muscle-Beef-Choice-Angus-Brisket/18952202937,"McClaren Farms Beef Brisket, Choice Angus Beef, 9.50-20.25 Lb",$78.90,,$5.26/lb,$78.90 $5.26/lb | Final cost by weight,final_cost_by_weight,in_stock,success
20260530_163344,2026-05-30 17:55:31,Walmart,21,tilapia fillets,https://www.walmart.com/ip/Marketside-Farm-Raised-Skinless-Tilapia-Fillets-Fresh-Never-Frozen-0-8-1-25-lb/155158056,"Marketside Farm Raised Skinless Tilapia Fillets, Fresh Never Frozen, 0.8 - 1.25 lb",$7.42,,$7.27/lb,$7.42 $7.27/lb | Final cost by weight,final_cost_by_weight,in_stock,success
20260530_163344,2026-05-30 18:01:08,Walmart,22,tuna in water,https://www.walmart.com/ip/Great-Value-Chunk-Light-Tuna-in-Water-2-6-oz-Pouch/17179393,"Great Value Chunk Light Tuna in Water, 2.6 oz Pouch",$0.88,,33.8¢/oz,$0.88,standard_price,in_stock,success
20260530_163344,2026-05-30 18:11:00,Walmart,23,"tuna in water, starkist",https://www.walmart.com/ip/StarKist-Light-Tuna-in-Water-2-6-oz-Pouch/13398015,"StarKist Light Tuna in Water, Wild Caught, 17g Protein, 2.6 oz Pouch",$1.28,,49.2¢/oz,$1.28,standard_price,in_stock,success
20260530_163344,2026-05-30 18:16:54,Walmart,24,"ham, lunchmeat, black forest,hillshire farm",https://www.walmart.com/ip/Hillshire-Farm-Ultra-Thin-Black-Forest-Ham-Refrigerated-9-oz-Plastic-Bag/26832120,"Hillshire Farm Ultra Thin Black Forest Ham Lunchmeat, 9 oz Plastic Tub, Refrigerated",$3.97,,$7.09/lb,$3.97 $7.09/lb,standard_price,in_stock,success
20260530_182848,2026-05-30 18:37:54,Walmart,25,ham,https://www.walmart.com/ip/Great-Value-Black-Forest-Ham-16-oz/573172852,"Great Value Black Forest Ham, 16 oz",$4.47,,$4.47/lb,$4.47 $4.47/lb,standard_price,in_stock,success
20260530_182848,2026-05-30 18:43:59,Walmart,26,"vegan lunch meat, hickory smoked, tofurky",https://www.walmart.com/ip/Tofurky-Peppered-Deli-Slice-5-5-Ounce-6-per-case/5414750171,"Tofurky Peppered Deli Slice, 5.5 Ounce - 6 per case.",$61.07,,,$61.07,standard_price,in_stock,success
20260530_182848,2026-05-30 18:50:48,Walmart,27,"turkey breast, lunchmeat, hillshire farm",https://www.walmart.com/ip/Hillshire-Farm-Ultra-Thin-Oven-Roasted-Turkey-Breast-Sliced-Refrigerated-16-oz-Plastic-Bag/12443809,"Hillshire Farm Ultra Thin Oven Roasted Turkey Breast Lunchmeat, 16 oz Plastic Tub, Refrigerated",$6.48,,$6.48/lb,$6.48 $6.48/lb,standard_price,in_stock,success
20260530_182848,2026-05-30 18:58:19,Walmart,29,chicken wings,https://www.walmart.com/ip/Tyson-All-Natural-Fresh-Chicken-Wings-1-75-2-75-lb-Tray/49976770,"Tyson All Natural Fresh Chicken Wings, 1.75 - 2.4 lb Tray",$7.68,,$3.84/lb,$7.68 $3.84/lb | Final cost by weight,final_cost_by_weight,in_stock,success
20260530_182848,2026-05-30 19:08:59,Walmart,30,chicken drumsticks,https://www.walmart.com/ip/Freshness-Guaranteed-Fresh-Chicken-Drumsticks-5-lb-Bag/613823324,"Freshness Guaranteed Fresh Chicken Drumsticks, 5 lb Bag",$4.92,$5.46,$1.47/lb,Now $4.92 $5.46,rollback_or_sale_price,in_stock,success
20260530_182848,2026-05-30 19:19:26,Walmart,31,"hot dogs, oscar mayer",https://www.walmart.com/ip/Oscar-Mayer-Classic-Wieners-Hot-Dogs-10-ct-Pack/10292514,"Oscar Mayer Classic Wieners Hot Dogs, 10 ct Pack",$2.84,$3.28,$2.84/lb,Now $2.84 $3.28,rollback_or_sale_price,in_stock,success
20260530_182848,2026-05-30 19:28:20,Walmart,32,hot dogs,https://www.walmart.com/ip/Wieners/17460903499,"Great Value Hot Dogs, 16 oz, 10 Count (Refrigerated)",$2.67,,16.7¢/oz,$2.67,standard_price,in_stock,success
20260530_182848,2026-05-30 19:34:10,Walmart,33,breakfast sausage links,https://www.walmart.com/ip/Great-Value-Uncooked-Original-Breakfast-Pork-Sausage-Links-12-oz-Package/129692794,"Great Value Uncooked Original Breakfast Pork Sausage Links, 12 oz Package",$2.52,,$3.36/lb,$2.52 $3.36/lb,standard_price,in_stock,success
20260530_182848,2026-05-30 19:41:09,Walmart,34,"breakfast sausage links, jimmy dean",https://www.walmart.com/ip/Jimmy-Dean-Original-Premium-Fresh-Pork-Sausage-Links-12-oz/754348986,"Jimmy Dean Original Premium Fresh Pork Sausage Links, 12 oz",$3.97,,$5.29/lb,$3.97 $5.29/lb,standard_price,in_stock,success
20260530_182848,2026-05-30 19:51:52,Walmart,35,"breakfast sausage, beyond meat",https://www.walmart.com/ip/Beyond-Meat-Beyond-Breakfast-Sausage-Plant-Based-Breakfast-Patties-Original-7-4-oz/545125454?classType=REGULAR&adsRedirect=true,"Beyond Meat Beyond Breakfast Sausage Plant-Based Breakfast Patties, Original 7.4 oz",$4.42,,$10.92/lb,$4.42,standard_price,in_stock,success
20260530_182848,2026-05-30 20:00:51,Walmart,36,"pork sausage, bratwurst, links, johnsonville",https://www.walmart.com/ip/Johnsonville-Brats-Beer-Pork-Bratwurst-Links-19-oz-5-Count-Tray/10316093,"Johnsonville Brats Beer Pork Bratwurst Links, 19 oz (5 Count) Refrigerated",$5.92,,$4.98/lb,$5.92 $4.98/lb,standard_price,in_stock,success
20260530_182848,2026-05-30 20:11:09,Walmart,37,"pork sausage, mild italian, links",https://www.walmart.com/ip/Marketside-Mild-Italian-Sausage-5-Links-1-lb-3-oz-Fresh/198361163,"Marketside Mild Italian Sausage, 5 Links, 1 lb 3 oz (Fresh)",$4.92,,$4.13/lb,$4.92 $4.13/lb,standard_price,in_stock,success
20260530_182848,2026-05-30 20:17:30,Walmart,38,"pork sausage, mild italian, links, johnsonville",https://www.walmart.com/ip/Johnsonville-Mild-Italian-Pork-Sausage-Links-19-oz-5-Count-Tray/10316095,"Johnsonville Mild Italian Pork Sausage Links, 19 oz (5 Count) Refrigerated",$5.92,,$4.98/lb,$5.92 $4.98/lb,standard_price,in_stock,success
20260530_182848,2026-05-30 20:23:12,Walmart,39,"pork back ribs, bone in",https://www.walmart.com/ip/Prairie-Fresh-Natural-Fresh-Pork-Back-Ribs-Bone-in-2-4-3-8-lb-19g-of-Protein-per-4-oz-Serving/465183919,"Prairie Fresh Natural Fresh Pork Back Ribs, Bone in, 2.4- 3.8 lb, 19g of protein per 4oz serving",$11.15,$12.67,$3.38/lb,Now $11.15 $12.67,rollback_or_sale_price,in_stock,success
20260530_182848,2026-05-30 20:29:07,Walmart,40,"eggs, large, white, 12 count",https://www.walmart.com/ip/Great-Value-Large-White-Eggs-12-Count/145051970,"Great Value Large White Eggs, 12 Count",$1.47,$1.67,6.1¢/oz,Now $1.47 $1.67,rollback_or_sale_price,in_stock,success
20260530_182848,2026-05-30 20:36:21,Walmart,41,"eggs, large, brown, pasture raised,12 count, vital farms",https://www.walmart.com/ip/Vital-Farms-Pasture-Raised-Grade-A-Large-Brown-Eggs-12-Count/115864065,"Vital Farms Pasture Raised Grade A Brown Eggs, Large, 12 Ct",$6.46,$7.46,53.8¢/ea,Now $6.46 $7.46,rollback_or_sale_price,in_stock,success
20260530_182848,2026-05-30 20:41:59,Walmart,42,"eggs, large, white, cage free, 12 count",https://www.walmart.com/ip/Marketside-Large-Cage-Free-Brown-Eggs-12-Count/49463949,"Marketside Large Cage-Free Brown Eggs, 12 Count",$2.66,$2.96,11.1¢/oz,Now $2.66 $2.96,rollback_or_sale_price,in_stock,success
20260530_182848,2026-05-30 20:51:29,Walmart,43,liquid egg whites,https://www.walmart.com/ip/Great-Value-100-Liquid-Egg-Whites-32-oz/13925176,"Great Value 100% Liquid Egg Whites, 32 oz",$4.87,,15.2¢/oz,$4.87,standard_price,in_stock,success
20260530_182848,2026-05-30 20:58:02,Walmart,44,"liquid egg whites, bob evans",https://www.walmart.com/ip/Bob-Evans-100-Liquid-Egg-Whites-32-oz/821371418,"Bob Evans 100% Liquid Egg Whites, 32 oz",$5.87,,18.3¢/oz,$5.87,standard_price,in_stock,success
20260530_182848,2026-05-30 21:04:11,Walmart,45,"yogurt, greek, plain, nonfat",https://www.walmart.com/ip/Great-Value-Greek-Plain-Nonfat-Yogurt-32-oz-Tub/26559565,"Great Value Plain Nonfat Greek Yogurt, 32 oz Tub",$3.28,,10.3¢/oz,$3.28,standard_price,in_stock,success
20260530_182848,2026-05-30 21:09:57,Walmart,47,"yogurt, greek, plain, nonfat, the greek gods",https://www.walmart.com/ip/The-Greek-Gods-Probiotic-Plain-Traditional-Greek-Yogurt-32-oz/50280101,"The Greek Gods Probiotic Plain Traditional Greek Yogurt, 32 oz",$5.18,,16.2¢/oz,$5.18,standard_price,in_stock,success
20260530_182848,2026-05-30 21:19:21,Walmart,48,"yogurt, greek, plain, nonfat, organic, stonyfield organic",https://www.walmart.com/ip/Stonyfield-Organic-Greek-Nonfat-Yogurt-Plain-32-oz/39670537,"Stonyfield Organic Greek Nonfat Yogurt, Plain, 32 oz.",$7.98,,24.9¢/oz,$7.98,standard_price,in_stock,success
20260530_212626,2026-05-30 21:38:01,Walmart,49,"yogurt, greek, plain, whole, organic, stonyfield organic",https://www.walmart.com/ip/Stonyfield-Organic-Whole-Milk-Probiotic-Yogurt-Plain-32-oz/10805152,"Stonyfield Organic Plain Whole Milk Probiotic Yogurt, 32 oz Container",$5.17,,16.2¢/oz,$5.17,standard_price,in_stock,success
20260530_212626,2026-05-30 21:43:26,Walmart,50,"yogurt, greek, plain, whole",https://www.walmart.com/ip/bettergoods-Whole-Milk-Plain-Greek-Yogurt-32-oz/5298196208,"bettergoods Plain Whole Milk Greek Yogurt, 32 oz Tub",$3.93,,12.3¢/oz,$3.93,standard_price,in_stock,success
20260530_215352,2026-05-30 21:53:52,Walmart,52,"yogurt, low fat, strawberry, cups, yoplait original",https://www.walmart.com/ip/Yoplait-Original-Low-Fat-Strawberry-Yogurt-Made-with-Real-Fruit-8-Yogurt-Cups-48-oz/47183342,"Yoplait Original Low Fat Strawberry Yogurt, Made with Real Fruit, 8 Yogurt Cups, 48 oz",$4.96,,10.3¢/oz,$4.96,standard_price,in_stock,success
20260530_215636,2026-05-30 21:56:36,Walmart,53,"yogurt, low fat, strawberry, tub, yoplait",https://www.walmart.com/ip/Yoplait-Original-Smooth-Style-Strawberry-Flavored-Low-Fat-Yogurt-Tub-32-oz/10320962,"Yoplait Original Smooth Style Strawberry Low Fat Yogurt Tub, 32 oz",$3.27,,10.2¢/oz,$3.27,standard_price,in_stock,success
20260530_215636,2026-05-30 21:59:03,Walmart,54,"yogurt, high protein, greek, strawberry, cups, oikos",https://www.walmart.com/ip/Oikos-Pro-20g-Protein-Strawberry-Yogurt-Cultured-Dairy-Product-5-3-oz-4-Ct/1732932481,"Oikos Pro 20g Protein, Strawberry Yogurt-Cultured Ultra-Filtered Milk&nbsp;Product Cups, 5.3 oz, 4 Count",$5.97,,28.3¢/oz,$5.97,standard_price,in_stock,success
20260530_215636,2026-05-30 22:01:37,Walmart,55,"yogurt, low fat, strawberry, cups",https://www.walmart.com/ip/Great-Value-Original-Strawberry-Lowfat-Yogurt-6-oz-4-Count/16785072,"Great Value Original Strawberry Low-fat Yogurt, 6 oz, 4 Count",$2.26,,9.4¢/oz,$2.26,standard_price,in_stock,success
20260530_215636,2026-05-30 22:04:01,Walmart,56,"yogurt, greek, nonfat, strawberry, cups",https://www.walmart.com/ip/Great-Value-Light-Greek-Strawberry-Nonfat-Yogurt-5-3-oz-4-Count/34788348,"Great Value Light Strawberry Nonfat Greek Yogurt, 5.3 oz Cups, 4 Pack",$2.68,,12.6¢/oz,$2.68,standard_price,in_stock,success
20260530_220623,2026-05-30 22:06:23,Walmart,57,"yogurt, greek, nonfat, strawberry, tub, chobani",https://www.walmart.com/ip/Chobani-Non-Fat-Greek-Yogurt-Strawberry-32-Oz-Tub/25205749,Chobani Non-Fat Greek Yogurt Strawberry Blended 32 oz Tub,$5.37,$5.97,16.8¢/oz,Now $5.37 $5.97,rollback_or_sale_price,in_stock,success
20260530_220623,2026-05-30 22:08:12,Walmart,58,"yogurt, greek, nonfat, strawberry, cups, light + fit",https://www.walmart.com/ip/Dannon-Light-Fit-Strawberry-Flavored-Greek-Fat-Free-Yogurt-Pack-5-3-oz-4-Count/21961722,"Light + Fit Strawberry Flavored Greek Fat Free Yogurt Pack, 5.3 oz, 4 Count",$4.22,,19.9¢/oz,$4.22,standard_price,in_stock,success
20260530_220623,2026-05-30 22:09:14,Walmart,59,"yogurt, low-fat, vanilla, tub",https://www.walmart.com/ip/Great-Value-Original-Vanilla-Lowfat-Yogurt-32-oz/10450127,"Great Value Original Vanilla Low-fat Yogurt, 32 oz Tub",$2.64,,8.3¢/oz,$2.64,standard_price,in_stock,success
