basket_item_id,canonical_name_suggestion,product_title,product_url,category
15,"frozen whole turkey, butterball","Butterball Frozen Whole Young Turkey, 20 - 24 lbs, Limit 1",https://www.heb.com/product-detail/butterball-frozen-whole-young-turkey-20-24-lbs-limit-1/2184248,poultry
16,"hickory sliced ham, smithfield",Smithfield Anytime Favorites Boneless Hickory-Smoked Ham Steak,https://www.heb.com/product-detail/smithfield-anytime-favorites-boneless-hickory-smoked-ham-steak-8-oz/1862778,pork
17,"bacon, hickory smoked",Hill Country Fare Hickory Smoked Sliced Bacon,https://www.heb.com/product-detail/hill-country-fare-hickory-smoked-sliced-bacon-16-oz/1498315,pork
18,"bacon, oscar mayer",Oscar Mayer Original Hardwood Smoked Bacon,https://www.heb.com/product-detail/oscar-mayer-original-hardwood-smoked-bacon-16-oz/139994,pork
19,vegan bacon,MorningStar Farms Veggie Breakfast Original Veggie Bacon Strips,https://www.heb.com/product-detail/morningstar-farms-veggie-breakfast-original-veggie-bacon-strips-5-25-oz/102725,vegan meat alternative
20,"brisket, beef, angus",H‑E‑B Natural Angus Beef Brisket,https://www.heb.com/product-detail/h-e-b-natural-angus-beef-brisket-avg-15-4-lbs/1046129,beef
21,tilapia fillets,H‑E‑B Responsibly Raised Fresh Tilapia Fillet,https://www.heb.com/product-detail/h-e-b-responsibly-raised-fresh-tilapia-fillet-lb/373291,fish/seafood
22,tuna in water,H-E-B Wild Caught Chunk Light Tuna in Spring Water Pouch,https://www.heb.com/product-detail/h-e-b-wild-caught-chunk-light-tuna-in-spring-water-pouch-2-5-oz/3911003,fish/seafood
23,"tuna in water, starkist",StarKist Chunk Light Tuna in Water Pouch,https://www.heb.com/product-detail/starkist-chunk-light-tuna-in-water-pouch-2-6-oz/296799,fish/seafood
24,"ham, lunchmeat, black forest,hillshire farm",Hill Country Fare Thin Sliced Black Forest Uncured Ham Lunch Meat,https://www.heb.com/product-detail/hill-country-fare-thin-sliced-black-forest-uncured-ham-lunch-meat-9-oz/2227738,pork
25,"ham, uncured, black forest",H‑E‑B Fully Cooked Applewood Smoked Sliced Uncured Half Ham,https://www.heb.com/product-detail/h-e-b-fully-cooked-applewood-smoked-sliced-uncured-half-ham-avg-1-25-lbs/1882488,lunch meat
26,"vegan lunch meat, hickory smoked, tofurky",Tofurky Hickory Smoked Plant-Based Deli Slices,https://www.heb.com/product-detail/tofurky-hickory-smoked-plant-based-deli-slices-5-5-oz/1369531,vegan meat alternative
27,"turkey breast, lunchmeat, hillshire farm",Hill Country Fare Thin-Sliced Oven-Roasted Turkey Breast Lunch Meat - Family Pack,https://www.heb.com/product-detail/hill-country-fare-thin-sliced-oven-roasted-turkey-breast-lunch-meat-family-pack-16-oz/4681501,lunch meat
28,"vegan deli slices, oven roasted, tofurky",Tofurky Oven Roasted Plant-Based Deli Slices,https://www.heb.com/product-detail/tofurky-oven-roasted-plant-based-deli-slices-5-5-oz/1369534,vegan meat alternative
29,chicken wings,Hill Country Fare Chicken Wing Portions,https://www.heb.com/product-detail/hill-country-fare-chicken-wing-portions-avg-1-81-lbs/313295,poultry
30,chicken drumsticks,"Hill Country Fare Chicken Drumsticks, Value Pack",https://www.heb.com/product-detail/hill-country-fare-chicken-drumsticks-value-pack-avg-4-2-lbs/313261,poultry
31,"hot dogs, oscar mayer",Oscar Mayer Classic Hot Dogs,https://www.heb.com/product-detail/oscar-mayer-classic-hot-dogs-10-ct/139933,pork
32,hot dogs,Hill Country Fare Franks Hot Dogs - Texas-Size Pack,https://www.heb.com/product-detail/hill-country-fare-franks-hot-dogs-texas-size-pack-24-ct/2419571,pork
33,breakfast sausage links,H‑E‑B Breakfast Sausage Patties - Original,https://www.heb.com/product-detail/h-e-b-breakfast-sausage-patties-original-nbsp-24-ct/15992162,pork
34,"breakfast sausage links, jimmy dean","Jimmy Dean Premium All Natural Pork Breakfast Sausage Links - Original, 14 ct",https://www.heb.com/product-detail/jimmy-dean-premium-all-natural-pork-breakfast-sausage-links-original-14-ct/1145130,pork
35,"breakfast sausage, beyond meat","Beyond Meat Beyond Breakfast Sausage Frozen Plant-Based Patties - Spicy, 6 ct",https://www.heb.com/product-detail/beyond-meat-beyond-breakfast-sausage-frozen-plant-based-patties-spicy-6-ct-7-4-oz/4438126,pork
36,"pork sausage, bratwurst, links, johnsonville",Johnsonville Beer Brats Bratwurst Links,https://www.heb.com/product-detail/johnsonville-beer-brats-bratwurst-links/1564067,pork
37,"pork sausage, mild italian, links",H‑E‑B Pork Italian Sausage Links - Mild,https://www.heb.com/product-detail/h-e-b-pork-italian-sausage-links-mild-avg-1-25-lbs/1077766,pork
38,"mild italian pork sausage links, johnsonville",Johnsonville Pork Italian Sausage Links - Mild,https://www.heb.com/product-detail/johnsonville-pork-italian-sausage-links-mild-5-ct/917699,pork
39,"pork back ribs, bone in",H‑E‑B Natural Pork Loin Baby Back Ribs,https://www.heb.com/product-detail/h-e-b-natural-pork-loin-baby-back-ribs-avg-3-4-lbs/960254,pork
40,"eggs, large, white, 12 count",Sunups Grade A Large White Eggs,https://www.heb.com/product-detail/sunups-grade-a-large-white-eggs-12-ct/392291,eggs
41,"eggs, large, brown, pasture raised,12 count, vital farms",Vital Farms Pasture Raised Large Eggs,https://www.heb.com/product-detail/vital-farms-pasture-raised-large-eggs-12-ct/2091628,eggs
42,"eggs, large, white, cage free, 12 count",H‑E‑B Grade AA Cage Free Large Brown Eggs,https://www.heb.com/product-detail/h-e-b-grade-aa-cage-free-large-brown-eggs-12-ct/1011641,eggs
43,liquid egg whites,Hill Country Fare Liquid Egg Whites,https://www.heb.com/product-detail/hill-country-fare-liquid-egg-whites-32-oz/1412036,eggs
44,"liquid egg whites, bob evans",Bob Evans Liquid Egg Whites,https://www.heb.com/product-detail/bob-evans-liquid-egg-whites-32-oz/3376659,eggs
45,"yogurt, greek, plain, nonfat",H‑E‑B 17g Protein Nonfat Greek Yogurt - Plain,https://www.heb.com/product-detail/h-e-b-17g-protein-nonfat-greek-yogurt-plain-32-oz/1715428,yogurt
46,"yogurt, greek, plain, nonfat, organic",H‑E‑B Organics 18g Protein Nonfat Greek Yogurt - Plain,https://www.heb.com/product-detail/h-e-b-organics-18g-protein-nonfat-greek-yogurt-plain-32-oz/2078531,yogurt
47,"yogurt, greek, plain, nonfat, the greek gods",The Greek Gods Plain Traditional Greek Yogurt,https://www.heb.com/product-detail/the-greek-gods-plain-traditional-nbsp-greek-yogurt-32-oz/1739386,yogurt
48,"yogurt, greek, plain, nonfat, organic, stonyfield organic",Stonyfield Organic 16g Protein Nonfat Greek Yogurt - Plain,https://www.heb.com/product-detail/stonyfield-organic-16g-protein-nonfat-greek-yogurt-plain-32-oz/1501682,yogurt
49,"yogurt, greek, plain, whole, organic, stonyfield organic",Stonyfield Organic 16g Protein Nonfat Greek Yogurt - Plain,https://www.heb.com/product-detail/stonyfield-organic-16g-protein-nonfat-greek-yogurt-plain-32-oz/1501682,yogurt
50,"yogurt, greek, plain, whole",H‑E‑B 17g Protein Whole Milk Greek Yogurt - Plain,https://www.heb.com/product-detail/h-e-b-17g-protein-whole-milk-greek-yogurt-plain-32-oz/12016560,yogurt
52,"yogurt, low fat, strawberry, cups, yoplait original",Yoplait Original Low-Fat Strawberry Yogurt,https://www.heb.com/product-detail/yoplait-original-low-fat-strawberry-yogurt-8-ct/668254,yogurt
53,"yogurt, low fat, strawberry, tub, yoplait",Yoplait Original Low-Fat Strawberry Yogurt,https://www.heb.com/product-detail/yoplait-original-low-fat-strawberry-yogurt-2-lb/1849548,yogurt
54,"yogurt, high protein, greek, strawberry, cups, oikos",Oikos Pro 20g Protein Greek Yogurt - Strawberry,https://www.heb.com/product-detail/oikos-pro-20g-protein-greek-nbsp-yogurt-strawberry-4-ct/11288511,yogurt
55,"yogurt, low fat, strawberry, cups",H‑E‑B Blended Strawberry Low-Fat Yogurt,https://www.heb.com/product-detail/h-e-b-blended-strawberry-low-fat-yogurt-4-ct/1027272,yogurt
